Kancelaria Prawna mgr Piotr Kozak;Wrocławska 18<br>41-500 Chorzów;biuro@kancelariachorzow.pl
Kancelaria Adwokacka Adwokat Krzysztof Woźniak;Moniuszki 4/4<br>40-005 Katowice;kancelaria@grupalextax.pl
Kancelaria Adwokacka Zubek Gatner Anweiler;Rynek 26/2<br>43-300 Bielsko-Biała;katowice@zubek-gatner.pl;kancelaria@zubek-gatner.pl
Kancelaria Adwokacka Adwokat Kordian Baranowski;Franciszkańska 29-31<br>40-708 Katowice;kancelaria@adwokatbaranowski.pl
Kancelaria Radcy Prawnego Roman Karziewicz;Wolności 13<br>41-500 Chorzów woj. śląskie;
Kancelaria Adwokacka Adwokat Adam Roszyk;Imielińska 87<br>41-407 Imielin;
Kancelaria Adwokacka Andrzej Szczepański;Kościuszki 6/3<br>40-049 Katowice ;biuro@kancelaria-szczepanski.com
Kancelaria Adwokacka Adwokat Marek Musielak;Andrzeja 29/4<br>40-061 Katowice;kancelaria@adwokatmusielak.pl
Kancelaria Adwokacka adw. W. Guja adw. M. Pakuła adw. B. Włosiński;al. Niepodległości 87<br>43-100 Tychy;kancelaria@adwokacitychy.pl
Adwokat Maja Galas - Kancelaria adwokacka Czeladź;Nowopogońska 213<br>41-253 Czeladź;adwokat.majagalas@gmail.com
Kancelaria Adwokacka Ilona Cebo-Kubiczek;Graniczna 12 Lok 101<br>41-300 Dąbrowa Górnicza ;kancelaria@adwokatcebo-kubiczek.pl
Kancelaria Adwokacka Jan Zybert;3 Maja 22<br>40-097 Katowice;jan24@interia.eu
Lexea Sp. z o.o.;Wałowa 37<br>43-100 Tychy;
Kancelaria Adwokacka Adwokat dr Anna Pacholska;Juliusza Słowackiego 4, lok. 3<br>41-300 Dąbrowa Górnicza;kancelaria@pacholska.eu
LEGAL M Kancelaria Prawna Maciej Pszczółka adwokat, doradca podatkowy;Sienkiewicza 33<br>43-100 Tychy;info@legalm.pl
Adwokat Sylwia Pobideł - Kolczyk Kancelaria Adwokacka;41-300 Dąbrowa Górnicza;
ADWOKAT Marek Knefel;Dąbrowskiego 62B/2<br>41-500 Chorzów ;m.knefel@gazeta.pl
De Iure Et Facto Beata Juszkiewicz-Kulig;Kochanowskiego 16/4<br>40-035 Katowice ;radcaprawny@kancelaria-bjk.pl
Kancelaria Adowkacka Adwokat Aleksandra Kamińska;Andrzeja 21/6<br>40-061 Katowice ;
Kancelaria Adwokacka Katarzyna Pryga-Miras;Aleja Zwycięstwa 14/I lok. 3<br>41-200 Sosnowiec ;ruchniak7@gmail.com
Adwokaci: Andrysiak Bolesław, Krzewińska-Andrysiak Małgorzata, Krzewiński Łukasz, Bolesław Andrys;Andrzeja 29 lok. 7<br>40-061 Katowice;kancelaria.prawnicza.andrysiak@neostrada.pl
Mirek Roman, Adwokat - Kancelaria;Młyńska 5<br>40-098 Katowice;mszczepara.adwokat@gmail.com
Adwokaci - Ryszard Walos i Andrzej Hayder Spółka Adwokacka;Gliwicka 10<br>40-079 Katowice;
Kancelaria Adwokacka;Kościuszki 67/7<br>40-047 Katowice;
Kancelaria Adwokacka Grzegorz Wójcik;Jana III Sobieskiego 11<br>40-084 Katowice;g.wojcik@kancelaria-wojcik.pl
Kancelaria Adwokacka Ewa Szewczyk Piotrowska;gliwicka 16/32<br>40-079 Katowice ;ep@piotrowskaewa.pl
Rassek Joachim - Kancelaria Adwokacka;Gliwicka 10<br>40-079 Katowice;
Bagier Kowalik Mączka i Wspólnicy - Kancelaria Adwokatów i Radców Prawnych - S.K.;PCK 10 lok. 8<br>40-057 Katowice ;sekretariat@bkmiw.pl
BUGAJSKA-WIERZBICKA Jolanta, Adwokat - Kancelaria Adwokacka;Wojewódzka 22<br>40-026 Katowice;
Kancelaria Adwokacka Adwokat Tomasz Kidawa;Kościuszki 26 lok. 3<br>40-049 Katowice;adwokat@kidawa.pl
Kancelaria Piotrowscy Spółka Partnerska Adwokatów;Kościuszki 49/5<br>40-048 Katowice ;sekretariat@kancelariapiotrowscy.pl
Kancelaria Adwokacka;Partyzantów 7<br>42-500 Będzin;
Iuridicus Sp. z o.o. Kancelaria Doradztwa Gospodarczego;Armii Krajowej 72<br>40-671 Katowice;
PRO-CONTRA s.c. Kancelaria Radców Prawnych;Przemysłowa 10<br>40-020 Katowice;
AD-P Alicja Danielewska-Podolak Kancelaria Adwokacka;Sienkiewicza 45/1<br>40-039 Katowice;adwokat@danielewska.pl
Kancelaria Adwokacka adw. Jadwiga Pazdan;Kościuszki 2<br>40-049 Katowice;jadwiga.pazdan@adwokatura.pl
Adwokat Robert Zugaj. Kancelaria Adwokacka Jzp.;Pocztowa 16<br>40-005 Katowice;
Kancelaria Adwokacka, Piotr Zarzycki - Adwokat;Jesionowa 22<br>40-158 Katowice ;
Kancelaria Adwokacka Adwokat Monika Frankowska-Krysiak;Moniuszki 4/4<br>40-005 Katowice;kancelaria@legali.pl
Argos Kancelaria Prawnicza K.M. Lubelscy;Korfantego 2<br>40-004 Katowice;
Kancelaria Radcy Prawnego Rafał Kolano;Jagiellońska 6/17<br>40-035 Katowice ;sekretariat@radcy-prawni.com.pl
ADWOKAT Kamil Draga;Wita Stwosza 7/217<br>40-040 Katowice;
Kancelaria Radcy Prawnego Magdalena Durczok;Gliwica 10<br>40-079 Katowice ;magdalena@durczok.eu 
Kancelaria Radcy Prawnego COGNITOR Andrzej Chołderny;Szczęść Boże 20<br>41-800 Zabrze;cholderny@kancelaria-cognitor.pl
Anna Groyecka-Kurdybelska Kancelaria Adwokacka;Jana Kochanowskiego 4/3<br>40-035 Katowice ;biuro@adwokatAGK.pl
Kancelaria Adwokacka Adwokat Małgorzata Tam;Dworcowa 19/109<br>41-902 Bytom woj.;kancelaria@adwokatbytom.com.pl
Magdalena Skotnik-Zawartka Adwokat Kancelaria Adwokacka;Rybna 1<br>42-500 Będzin ;msz@adwokatbedzin.pl
Adwokat Igor Służałek Kancelaria Adwokacka;Al. Korfantego 51<br>40-162 Katowice;kancelaria@sluzalek.pl
Tomiak Żuchowski Łukasiewicz Kancelaria Adwokacka;Warszawska 31<br>40-010 Katowice;
Kancelaria Adwokacka Adwokat Adam Sornek;Kościuszki 6/3<br>40-049 Katowice ;kancelaria@malegal.pl
Kancelaria Adwokacka Adwokat Przemysław Kral;Budowlanych 29/14<br>43-100 Tychy ;
Kancelaria Adwokacka Adwokat Magdalena Urbańska;Kościuszki 6/3<br>40-049 Katowice ;adwokat@murbanska.pl
Kancelaria Adwokacka Adwokat Stella Galas;Piekarska 5<br>41-902 Bytom;nocta1@wp.pl
Kancelaria Adwokacka Dorota Sokołowska;Piotra Niedurnego 57/4<br>41-709 Ruda Śląska;adw.sokolowska@gmail.com
Kancelaria Adwokacka Adwokat Katarzyna Debudaj;Modrzejowska 45<br>41-200 Sosnowiec;
Lcg Kancelaria Adwokacka- Adwokat Mariusz Dudała;3 Szyb 12a<br>41-253 Czeladź;LCG.mdudala@onet.eu
Kancelaria Adwokacka Bartłomiej Honorowicz;1-go Maja 228<br>41-710 Ruda Śląska ;kancelaria@adwokathonorowicz.pl
Adwokat Oskar Złotowski Kancelaria Adwokacka;Farna 12<br>43-600 Jaworzno;oskar@zlotowski.com.pl
Kancelaria Adwokacka Adwokat Rafał Machecki;mlynska 3<br>40-098 Katowice;kancelaria.rmachecki@gmail.com
Anna Krasuska Terrillon Adwokat;PCK 10/3<br>40-057 Katowice ;amkrasuska@madonet.com.pl
Modus - Kancelaria Radców Prawnych;Moniuszki 3 lok. 7<br>40-005 Katowice;modus@modus.wroc.pl
Cholewa Leszek, Adwokat - Kancelaria Adwokacka;Podchorążych 1<br>40-043 Katowice;l.cholewa@adplegal.pl
Banasik Jakub, adwokat;Reymonta 22 lok. 1<br>40-029 Katowice ;kancelaria@dwokat.pl
Kancelaria Adwokacka Michno Kasznia Kawalec Spółka Partnerska;mikolaja kopernika 4/3<br>40-064 Katowice;zkasznia@kancelariamkk.eu
Andrzej Borówka Indywidualna Kancelaria Adwokacka;Gliwicka 10<br>40-079 Katowice;abprawnik@tlen.pl
Adwokat Jarosław Pawłowski Kancelaria Adwokacka w Katowicach;henryka sienkiewicza 45/1<br>40-097 Katowice ;pawlowski@advokat.pl
Jacek Żelazny Kancelaria Adwokacka;stanislawa moniuszki 2/4<br>40-005 Katowice;zelaznyj@poczta.onet.pl
Kancelaria Adwokacka Janina Dudek;warszawska 31<br>40-001 Katowice;adw.janina.dudek@neostrada.pl
Kancelaria Adwokacka Damian Zgolik;juliusza slowackiego 37/211<br>40-093 Katowice ;
Kancelaria Adwokacka Wacław Mitas;jutrzenki 1/2<br>40-759 Katowice woj.;Mitas@mitas-ka.pl
Kancelaria Adwokacka Adwokat Anna Pogoda;jagiellonska 16/7<br>40-035 Katowice;apogoda@pzlegal.pl
Kancelaria Adwokacka Jadwiga Klaus;wojewodzka 22<br>40-026 Katowice;
Przebindowski Kancelaria Adwokacka Łukasz Przebindowski;dyrekcyjna 4/4<br>40-013 Katowice;
Jacek Nowak Kancelaria Adwokacka;sloneczna 4<br>40-135 Katowice;
KOTAS Czesław Kancelaria Adwokacka;stawowa 8<br>40-095 Katowice ;cz.kotas@op.pl
Adwokat Katarzyna Kwiatkowska Kozik Kancelaria Adwokacka;jana III sobieskiego 27<br>40-082 Katowice;k.kwiatkowska-kozik@adwokat.lex.pl
Kancelaria Adwokacka Adwokat Beata Łachtaj Nowakowska;tadeusza kosciuszki 16/2<br>40-049 Katowice ;blachtaj1@poczta.onet.pl
Kancelaria Adwokacka Bartosz Synowiec;henryka sienkiewicza 15/8<br>40-031 Katowice ;kancelaria@kancelaria-mss.eu
Kancelaria Adwokacka Adwokat Bartłomiej Jakubczyk;opolska 3/7<br>40-084 Katowice;b.jakubczyk@sobien-jakubczyk.pl
Kancelaria Adwokacka Adwokat Paweł Pampuszko;strzelcow bytomskich 31/6<br>40-308 Katowice ;kancelaria@kzpa.pl
Kancelaria Adwokacka Małgorzata Lekston;staromiejska 6/2<br>40-013 Katowice ;sekretariat@kancelarialekston.pl
Kancelaria Adwokacka Adwokat Monika Filipkiewicz;mikolaja kopernika 14/8<br>40-064 Katowice;
Kancelaria Adwokacka Adwokat mgr Aleksander Franik;raciborska 17/3<br>40-074 Katowice;aleksander.franik@adwokatura.pl
Kancelaria Adwokacka Adwokat Paweł Goik;ignacego paderewskiego 32<br>40-282 Katowice;
Kancelaria Adwokacka Aleksandra Manderla;adama mickiewicza 21<br>40-085 Katowice ;
Łata Anna Danielewska-Podolak Alicja Kancelaria Adwokacka;Sienkiewicza 45 lok. 1<br>Katowice;
Adwokat Agnieszka Kokoszka Kancelaria Adwokacka;Staromiejska 3/4<br>40-013 Katowice;adwokat_kumor_agnieszka@poczta.onet.pl
KOZŁOWSKA-HOLEWIK Anna Kancelaria Adwokacka;Słowackiego 23<br>Katowice;kozlowska.kancelaria@op.pl
Urbanik i Partnerzy Adwokaci i Radcowie Prawni Spółka Partnerska;Brynowska 66<br>40-584 Katowice;urbanik@katowce.home.pl
Witkowski i Hayder Spółka Partnerska Adwokatów;Gliwicka 10<br>40-079 Katowice;sekretariat@cwkh.pl
Adwokaci Esnekier Opławski Spółka Partnerska;Jesionowa 22<br>40-158 Katowice ;kancelaria@mamyprawo.pl
Kkp Kotulski Köhler Przybysz Adwokaci i Radcowie Prawni Spółka Partnerska;Mickiewicza 21<br>40-085 Katowice;kkp@kkplegal.com
Adwokat - Zdzisław Witkowski;al. Korfantego 2 lok. 212<br>40-004 Katowice;prawobiznesu@prawobiznesu.com.pl
Koehler Rak Kurowski - Biura Prawne Sp.j.;Jana III Sobieskiego 8a/2<br>40-082 Katowice;krk@lawchambers.pl
Barda Kancelaria Radcy Prawnego Małgorzata Krajewska-Rupik;Damrota 16 -18<br>40-022 Katowice;kancelaria_barda@poczta.onet.pl
Legitimus s.c. Kancelaria Prawnicza - Aureliusz Kuberski, Krzysztof Proszowski;Teatralna 7a<br>40-003 Katowice;
Herzog Piotr, mgr. Kancelaria Adwokacka;Jastrzębia 6 lok. 7<br>40-661 Katowice;
Borówka Marek, Adwokat - Kancelaria;Staromiejska 11/3<br>40-013 Katowice;
Iustus s.c. Kancelaria Prawnicza - Popczyk Andrzej, Alicja Popczyk;Drzymały 4<br>40-059 Katowice;iustus@iustus.pl
Kopeć Grzegorz, Adwokat - Kancelaria Adwokacka;Raciborska 17 lok. 3<br>40-074 Katowice;grzegorz.kopec@adwokatura.pl
Łata Anna, Adwokat;Wojewódzka 16 lok. 3<br>40-026 Katowice;adwokat_a@interia.pl
Książek Paweł, Adwokat - Kancelaria Adwokacka, Obsługa Podmiotów Gospodarczych;Mariacka 17<br>40-014 Katowice;mecenas@pawelksiazek.pl
Rajpert Andrzej - Kancelaria Adwokacka;Stefana Batorego 8 lok. 4<br>40-061 Katowice ;kancelaria@hot.pl
Mitas Wacław, Adwokat - Kancelaria;Mickiewicza 15<br>40-951 Katowice;
Verbis Sp.K. Kancelaria Prawnicza Z. Tobor i Wspólnicy;Stefana Batorego 4/5<br>40-061 Katowice ;
Rusecki Jerzy Kancelaria Adwokacka;pl. Grunwaldzki 8/10<br>40-950 Katowice ;kancelaria@rusecki.pl
ADWOKAT Rafał Pirożek;Jana III Sobieskiego 6/1<br>40-082 Katowice;
Larysz Zajączkowski i Partnerzy Adwokaci i Radcowie Prawni;Pułaskiego 17<br>41-800 Zabrze ;kancelaria@adwokaci-radcyprawni.pl
Duraj & Reck i Partnerzy Kancelaria Adwokacka;gliwicka 5<br>40-079 Katowice;kancelaria@durajreck.com
Kancelaria Adwokacka Adwokat Maciej Czechowicz;stawowa 8<br>40-095 Katowice;adwokat.czechowicz@op.pl
Kancelaria Adwokacka Barbara Zgut Adwokat;boleslawa czerwinskiego 8/24<br>40-123 Katowice;
Kancelaria Adwokacka Bona Fides s.c. Anna Rogozińska & Krzysztof Ferič;tadeusza kosciuszki 50/3<br>40-047 Katowice ;biuro@bonafides.com.pl
Kancelaria Adwokacka Adwokat Piotr Opławski;krolowej jadwigi 10<br>40-096 Katowice ;kancelaria@mamyprawo.pl
Kancelaria Adwokacka Anna Krukowska Konik; ;kancelaria_adwokacka@op.pl
Kancelaria Adwokacka Witold Niełacny;staromiejska 6/5<br>40-013 Katowice;wnielacny@nielacny.pl
Kancelaria Adwokacka Adwokat Karina Fajer;jana III sobieskiego 11<br>40-082 Katowice;adw.karina.fajer@kancelaria-adwokacka.slask.pl
Adwokat Mateusz Zgryzek Kancelaria Adwokacka;jozefowska 35a<br>40-142 Katowice ;zgryzek.mateusz@gmail.com
Kancelaria Adwokacka Łukasz Szatko;zygmunta waltera jankego 74a<br>40-612 Katowice ;adw@vp.pl
Kancelaria Adwokacka adw Mirosław Grzybowski;wladyslawa stanislawa reymonta 14/5<br>40-029 Katowice;
Kancelaria Adwokacka Adwokat Konrad Pogoda;jagiellonska 16/7<br>40-035 Katowice;
Kancelaria Adwokacka Adwokat Michał Górski;mlynska 3<br>40-098 Katowice;kancelaria.mgorski@gmail.com
Kancelaria Adwokacka Rafał Łyko Adwokat;walentego rozdzienskiego 188a<br>40-203 Katowice;
Kaszyk Maria Kancelaria Adwokacka;Gliwicka 10<br>40-079 Katowice;maria.kaszyk@adwokatura.pl
Kancelaria Adwokacka Adwokat Maciej Sitkiewicz;henryka sienkiewicza 15/8<br>40-031 Katowice ;
Kancelaria Adwokacka Marek Łukaszewicz Adwokat Radca Prawny;staromiejska 2/4<br>40-013 Katowice;
Kancelaria Adwokacka Zygmunt Ociepka;warszawska 31<br>40-010 Katowice;zygmut.ociepka@neostrada.pl
Kancelaria Adwokacka mgr Józef FOX Adwokat;modelarska 12<br>40-142 Katowice;
Kancelaria Adwokacka Iwona Kapler;francuska 35/37<br>40-027 Katowice ;iwonakapler@op.pl 
Barbara Laske Kancelaria Adwokacka;marii sklodowskiej curie 22/401<br>40-058 Katowice;barbara.laske@kancelarialaske.pl
Kancelaria Adwokacka Waldemar Murek;mariacka 37<br>40-014 Katowice;murek@adwokat-silesia.pl
Kidawa Ewelina Kancelaria Adwokacka;jana 14<br>40-012 Katowice;
Kancelaria Adwokacka Adwokat Artur Herian;mlynska 3<br>40-098 Katowice;aherian@adwokat-katowice.eu
Pęcherek Tadeusz Adwokat Kancelaria Adwokacka;dyrekcyjna 4/4<br>40-013 Katowice;kancelarie.adwokackie@neostrada.pl
Kancelaria Adwokacka Adwokat Marek Malara;Wita Stwosza 7/217<br>40-040 Katowice;adwokat@marekmalara.pl
Kozłowski Roman Kancelaria Adwokacka;dyrekcyjna 4/4<br>40-013 Katowice;
Kancelaria Adwokacka adw. Marta Smołka;Andrzeja 21/6<br>40-061 Katowice ;
Duraj Reck i Partnerzy Kancelaria Adwokacka;gliwicka 5<br>40-079 Katowice;kancelaria@durajreck.com
Kancelaria Adwokacka Łukasz Kolny;Juliusza Ligonia 40/4<br>40-037 Katowice;sekretariat@fks-adwokaci.pl
Bartłomiej Piotrowski Kancelaria Adwokacka;Tadeusza Kościuszki 49/5<br>40-061 Katowice ;sekretariat@kancelariapiotrowscy.pl
Gajda Aneta Kancelaria Adwokacka;Dąbrowskiego 22<br>Katowice ;kancelaria@gajdaadwokat.pl
Pawłowski Jarosław Kancelaria Adwokacka;Sienkiewicza 45/1<br>Katowice;pawlowski@advokat.pl
SZEWCZYK-PIOTROWSKA Ewa Kancelaria Adwokacka;Andrzeja 29<br>Katowice;ep@piotrowskaewa.pl
Szpunar Krystyna Kancelaria Adwokacka;Stawowa 8<br>Katowice;
Kancelaria Adwokacka Paweł Dłóciok;Szczęść Boże 7<br>41-800 Zabrze ;kancelaria.adwokacka.apd@gmail.com
Kancelaria Adwokacka - Adwokat Tomasz Kidawa;Kościuszki 2<br>Katowice;adwokat@kidawa.pl
Kotas Czesław - Kancelaria Adwokacka;Stawowa 8<br>Katowice;cz.kotas@op.pl
Łukaszewicz Marek - Kancelaria Adwokacka;Paderewskiego 17<br>Katowice ;kancelariaml@interia.pl
AD-P Alicja Danielewska-Podolak Kancelaria Adwokacka;Katowice;adwokat@danielewska.pl
Adwokat M. Czechowicz - Kancelaria Adwokacka;Stawowa 8<br>Katowice;
Strażecki Adam Kancelaria Adwokacka;Stawowa 8<br>Katowice;poczta@arpid.pl
Kapler Iwona Kancelaria Adwokacka;Francuska 35/37<br>Katowice;iwonakapler@op.pl 
Konieczyński Michał Kancelaria Adwokacka;Kopernika 13/5<br>Katowice;
Węgrzynowski Jacek Kancelaria Adwokacka;Francuska 35<br>Katowice;wegrzynowski@wegrzynowski.pl
Synowiec Bartosz Kancelaria Adwokacka;Sienkiewicza 15 lok. 8<br> Katowice;kancelaria@kancelaria-mss.eu<
Kancelaria Adwokacka Diana Kaszyk-Cichy;św. Jana 14<br> Katowice;
Ksp T Srokosz i Wspólnicy S.K.;Chorzowska 50<br>40-121 Katowice;kancelaria@ksplegal.pl
Arttemida Claudia Rydel;Wojciecha Korfantego 42<br>40-161 Katowice;
EURODOM Grażyna Skruszewicz;Warszawska 3<br>40-009 Katowice;
Kancelaria Radców Prawnych Rogowska Rauer Spółka Partnerska w Likwidacji;Czerwińskiego 6<br>40-123 Katowice ;
Biuro Prawno Consultingowe Certus II s.c. Jarmuszkiewicz R Terlecka T;dyrekcyjna 4/4<br>40-013 Katowice;
Ludwiczek Arkadiusz, Adwokat - Kancelaria;40-010 Katowice;kancelaria.ludwiczek@gmail.com
Kancelaria Radcy Prawnego Natalia Lipińska;Warszawska 12<br>41-200 Sosnowiec;kancelaria@lipinska-radca.pl
Mrozek Lesław. Kancelaria Adwokacka;Rynek 13/3<br>41-500 Chorzów;sekretariat@kancelaria-mrozek.pl
Kancelaria Adwokacka Przemysław Bujniak;Rynek Główny 5<br>43-600 Jaworzno ;przemyslaw.bujniak@adwokatura.pl
Kancelaria Adwokacka Adwokat Ireneusz Pietrzykowski;Dworcowa 22<br>41-902 Bytom;kancelaria@ipietrzykowski.pl
Kancelaria Adwokacka Marcin Kniotek;gen. Jerzego Ziętka 15 lok. nr 3 (Technoszczot)<br>41-940 Piekary Śląskie ;marcinkniotek@gmail.com
Kancelaria Adwokacka Adwokat Karolina Kawecka;Kochanowskiego 6/1<br>40-035 Katowice;kawecka.kancelaria@gmail.com
Ewelina Papaj-Gajek Kancelaria Adwokacka;Brynowska 66<br>Katowice;ewelinapapaj@gmail.com
Kancelaria Adwokacka Adwokat dr Iwona Gredka;Uniwersytecka 21/22<br>40-007 Katowice;iwona.gredka@adwokatura.pl
Adwokat Jarosław Jerzy Góra Kancelaria Adwokacka;Korfantego 141<br>40-156 Katowice;dziekan@adwokatura.katowice.pl
Kancelaria Adwokacka Adwokat Anna Rotkiel;Miarki 6 lok. 4<br>40-205 Katowice;dziekan@adwokatura.katowice.pl
Kancelaria Adwokacka Adwokat Katarzyna Kruszewska-;Kościuszki 24/4<br>Katowice;biuro@adwokat-slask.pl
Adwokat Adam Wojtyga Kancelaria Adwokacka;Korfantego 191<br>40-153 Katowice ;kancelaria@wojtyga.com
Kancelaria Adwokacka Adwokat Joanna Klimczyk;Skłodowskiej-Curie 22<br>Katowice;
Kancelaria Adwokacka Adwokat Joanna Otrębska-Zięba;Warszawska 3<br>Katowice;aotrebska@wp.p
Kancelaria Adwokacka Adwokat Karolina Kołakowska;Mariacka 4<br> Katowice;adwokat.kolakowska@gmail.com
Kancelaria Adwokacka Adwokat Gaweł Natalia;Katowicka 65 lok. 41<br>Katowice;bytom@drabotgawel-adwokaci.pl
Kancelaria Adwokatów Fides Bona;Kosciuszki9 67/7<br>40-047 Katowice;biuro@bonafides.com.pl
Pbc Kancelaria Adwokacka Adwokat Anna Bodera;3 Maja 34<br> Katowice;
Domagała Jacek Kancelaria Adwokacka;PCK 6/1<br>Katowice;
Jakub Muchacki Kancelaria Adwokacka;Kopernika 13 lok. 5a<br>Katowice;
Kancelaria Adwokacka Aleksandra Pietraś-Dudek;Grażyńskiego 42a lok. 10<br> Katowice;
Kancelaria Adwokacka Jarosław Reck;Brynowska 32<br>40-585 Katowice ;
Kancelaria Adwokacka Katarzyna Kiermasz-Olszewska;Francuska 35 -37 l. 405<br>Katowice;jga@jga.com.pl
Kancelaria Adwokacka Kobylińscy Sp.P.;Warszawska 21/6<br> Katowice;sekretariat@kobylinscy.pl
Kancelaria Adwokacka Wiktor Warniełło;Jagiellońska 16 lok. 7<br>Katowice;w.warniello@kancelaria-warniello.pl
Kusz Roman Kancelaria Adwokacka;Kościuszki 2<br>40-049 Katowice;roman.kusz@adwokatura.pl
Malec Anna Kancelaria Adwokacka;Powstańców 26/4<br> Katowice;a.malec@adplegal.pl
Kancelaria Adwokacka Adwokat Tomasz Franosz;1 Maja 127<br>41-706 Ruda Śląska;kancelaria@adwokat-tomaszpado.pl
Berendowicz&Berendowicz Kancelaria Adwokacka;Sikorskiego 118<br>41-809 Zabrze;kancelaria@berendowicz.pl
Wojewodzic Grzegorz - Kancelaria Adwokacka;Mariacka 13<br>40-014 Katowice ;
MAZURKIEWICZ-FLIGIER Alicja - Kancelaria Adwokacka;3 Maja 18 lok. 1<br>40-097 Katowice;adwokatfligier@poczta.onet.pl
Kancelaria Adwokacka - Adwokat Iwona Pisarzowska;Pocztowa 10 lok. 2<br>40-002 Katowice;
MAZAN-BORÓWKA Elżbieta, Adwokat - Kancelaria;Kościuszki 44 lok. 7<br>40-048 Katowice ;e.mazan@post.pl
Przedpełski, Zgryzek, Żurawski i Partnerzy - Kancelaria Adwokacka;modelarska 12<br>40-142 Katowice;e-kancelaria@pzzp.pl
Lubelski Wojciech, Adwokat - Kancelaria Adwokacka;Traktorzystów 18 lok. 1<br>40-695 Katowice;
Wcisło Henryk Adwokat - Kancelaria Adwokacka;Ligonia 18 lok. 3<br>40-036 Katowice ;kancelariacdmw@interia.pl
Adwokaci i Doradcy Sp.j. L. Cholewa, G. Długi, J. Pichura, A. Zawadzka-Kubica;Królowej Jadwigi 10<br>40-036 Katowice;
Piotrowski Bartłomiej - Kancelaria;Andrzeja 29 lok. 5<br>40-061 Katowice ;sekretariat@kancelariapiotrowscy.pl
Kwak Andrzej - Kancelaria Adwokacka;Kępowa 24a<br>40-162 Katowic;kancelaria@procontra.pl
Kancelaria Adwokacka - adw. Jan Śliwiak;W. Korfantego 9<br>40-951 Katowice;
Płaza Igor, Adwokat - Kancelaria;Kilińskiego 20 lok. 2<br>40-005 Katowice;
Reszczyński Romuald - Kancelaria Adwokacka;Reymonta 14<br>40-029 Katowice;
Zając Martyna, Adwokat - Kancelaria;Plebiscytowa 29 lok. 3<br>40-036 Katowice;
Zaleska Beata, Adwoka - Kancelaria;3 Maja 40 lok. 2<br>40-097 Katowice ;bjzalescy@poczta.onet.pl
Zaleski Janusz, Adwokat - Kancelaria;3 Maja 40 lok. 2<br>40-097 Katowice ;
